county_name,year,bearing_acres,data_source
Polk,2002,102295.0,NASS_CENSUS
Polk,2007,83294.0,NASS_CENSUS
Polk,2012,65724.0,NASS_CENSUS
Polk,2017,66988.0,NASS_CENSUS
Polk,2022,54692.0,NASS_CENSUS
Hendry,2002,55632.0,NASS_CENSUS
Hendry,2007,68707.0,NASS_CENSUS
Hendry,2012,94267.0,NASS_CENSUS
Hendry,2017,65849.0,NASS_CENSUS
Hendry,2022,52114.0,NASS_CENSUS
DeSoto,2002,67394.0,NASS_CENSUS
DeSoto,2007,46798.0,NASS_CENSUS
DeSoto,2012,22046.0,NASS_CENSUS
DeSoto,2017,46935.0,NASS_CENSUS
DeSoto,2022,42234.0,NASS_CENSUS
Highlands,2002,75984.0,NASS_CENSUS
Highlands,2007,53539.0,NASS_CENSUS
Highlands,2012,43433.0,NASS_CENSUS
Highlands,2017,40799.0,NASS_CENSUS
Highlands,2022,27449.0,NASS_CENSUS
