county_name,year,yield_lbs_acre,data_source
Florida (Statewide),1990,24840.0,NASS
Florida (Statewide),1991,32400.0,NASS
Florida (Statewide),1992,28350.0,NASS
Florida (Statewide),1993,34290.0,NASS
Florida (Statewide),1994,30690.0,NASS
Florida (Statewide),1995,32850.0,NASS
Florida (Statewide),1996,30780.0,NASS
Florida (Statewide),1997,32580.0,NASS
Florida (Statewide),1998,36090.0,NASS
Florida (Statewide),1999,27360.0,NASS
Florida (Statewide),2000,34830.0,NASS
Florida (Statewide),2001,33210.0,NASS
Florida (Statewide),2002,35280.0,NASS
Florida (Statewide),2003,31050.0,NASS
Florida (Statewide),2004,38520.0,NASS
Florida (Statewide),2005,24840.0,NASS
Florida (Statewide),2006,27090.0,NASS
Florida (Statewide),2007,24390.0,NASS
Florida (Statewide),2008,33030.0,NASS
Florida (Statewide),2009,31860.0,NASS
Florida (Statewide),2010,26640.0,NASS
Florida (Statewide),2011,28710.0,NASS
Florida (Statewide),2012,30420.0,NASS
Florida (Statewide),2013,27990.0,NASS
Florida (Statewide),2014,22500.0,NASS
Florida (Statewide),2015,21510.0,NASS
Florida (Statewide),2016,18990.0,NASS
Florida (Statewide),2017,16830.0,NASS
Florida (Statewide),2018,11250.0,NASS
Florida (Statewide),2019,18270.0,NASS
Florida (Statewide),2020,17280.0,NASS
Florida (Statewide),2021,13860.0,NASS
Florida (Statewide),2022,11700.0,NASS
Florida (Statewide),2023,5130.0,NASS
Florida (Statewide),2024,7020.0,NASS
