station_id,station_name,date,datatype,value,data_source
SYNTH,Lakeland Linder,1990-01-15,TMAX,859.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-01-15,TMIN,638.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-01-15,PRCP,6.0,SYNTHETIC
SYNTH,Tampa International,1990-01-15,TMAX,941.0,SYNTHETIC
SYNTH,Tampa International,1990-01-15,TMIN,631.0,SYNTHETIC
SYNTH,Tampa International,1990-01-15,PRCP,1.0,SYNTHETIC
SYNTH,Orlando Executive,1990-01-15,TMAX,946.0,SYNTHETIC
SYNTH,Orlando Executive,1990-01-15,TMIN,711.0,SYNTHETIC
SYNTH,Orlando Executive,1990-01-15,PRCP,0.0,SYNTHETIC
SYNTH,Sebring,1990-01-15,TMAX,863.0,SYNTHETIC
SYNTH,Sebring,1990-01-15,TMIN,612.0,SYNTHETIC
SYNTH,Sebring,1990-01-15,PRCP,0.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-02-15,TMAX,839.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-02-15,TMIN,496.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-02-15,PRCP,5.0,SYNTHETIC
SYNTH,Tampa International,1990-02-15,TMAX,775.0,SYNTHETIC
SYNTH,Tampa International,1990-02-15,TMIN,568.0,SYNTHETIC
SYNTH,Tampa International,1990-02-15,PRCP,4.0,SYNTHETIC
SYNTH,Orlando Executive,1990-02-15,TMAX,747.0,SYNTHETIC
SYNTH,Orlando Executive,1990-02-15,TMIN,537.0,SYNTHETIC
SYNTH,Orlando Executive,1990-02-15,PRCP,10.0,SYNTHETIC
SYNTH,Sebring,1990-02-15,TMAX,801.0,SYNTHETIC
SYNTH,Sebring,1990-02-15,TMIN,655.0,SYNTHETIC
SYNTH,Sebring,1990-02-15,PRCP,4.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-03-15,TMAX,776.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-03-15,TMIN,658.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-03-15,PRCP,2.0,SYNTHETIC
SYNTH,Tampa International,1990-03-15,TMAX,850.0,SYNTHETIC
SYNTH,Tampa International,1990-03-15,TMIN,601.0,SYNTHETIC
SYNTH,Tampa International,1990-03-15,PRCP,1.0,SYNTHETIC
SYNTH,Orlando Executive,1990-03-15,TMAX,771.0,SYNTHETIC
SYNTH,Orlando Executive,1990-03-15,TMIN,798.0,SYNTHETIC
SYNTH,Orlando Executive,1990-03-15,PRCP,2.0,SYNTHETIC
SYNTH,Sebring,1990-03-15,TMAX,735.0,SYNTHETIC
SYNTH,Sebring,1990-03-15,TMIN,715.0,SYNTHETIC
SYNTH,Sebring,1990-03-15,PRCP,3.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-04-15,TMAX,836.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-04-15,TMIN,493.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-04-15,PRCP,3.0,SYNTHETIC
SYNTH,Tampa International,1990-04-15,TMAX,835.0,SYNTHETIC
SYNTH,Tampa International,1990-04-15,TMIN,709.0,SYNTHETIC
SYNTH,Tampa International,1990-04-15,PRCP,3.0,SYNTHETIC
SYNTH,Orlando Executive,1990-04-15,TMAX,810.0,SYNTHETIC
SYNTH,Orlando Executive,1990-04-15,TMIN,625.0,SYNTHETIC
SYNTH,Orlando Executive,1990-04-15,PRCP,4.0,SYNTHETIC
SYNTH,Sebring,1990-04-15,TMAX,762.0,SYNTHETIC
SYNTH,Sebring,1990-04-15,TMIN,613.0,SYNTHETIC
SYNTH,Sebring,1990-04-15,PRCP,8.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-05-15,TMAX,847.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-05-15,TMIN,508.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-05-15,PRCP,4.0,SYNTHETIC
SYNTH,Tampa International,1990-05-15,TMAX,789.0,SYNTHETIC
SYNTH,Tampa International,1990-05-15,TMIN,595.0,SYNTHETIC
SYNTH,Tampa International,1990-05-15,PRCP,6.0,SYNTHETIC
SYNTH,Orlando Executive,1990-05-15,TMAX,902.0,SYNTHETIC
SYNTH,Orlando Executive,1990-05-15,TMIN,724.0,SYNTHETIC
SYNTH,Orlando Executive,1990-05-15,PRCP,1.0,SYNTHETIC
SYNTH,Sebring,1990-05-15,TMAX,795.0,SYNTHETIC
SYNTH,Sebring,1990-05-15,TMIN,676.0,SYNTHETIC
SYNTH,Sebring,1990-05-15,PRCP,7.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-06-15,TMAX,781.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-06-15,TMIN,635.0,SYNTHETIC
SYNTH,Lakeland Linder,1990-06-15,PRCP,2.0,SYNTHETIC
SYNTH,Tampa International,1990-06-15,TMAX,724.0,SYNTHETIC
SYNTH,Tampa International,1990-06-15,TMIN,715.0,SYNTHETIC
SYNTH,Tampa International,1990-06-15,PRCP,9.0,SYNTHETIC
SYNTH,Orlando Executive,1990-06-15,TMAX,814.0,SYNTHETIC
SYNTH,Orlando Executive,1990-06-15,TMIN,730.0,SYNTHETIC
SYNTH,Orlando Executive,1990-06-15,PRCP,4.0,SYNTHETIC
